time,roof mechanical,DB,WB,Scored Labels
6/5/2016 7:47:00 AM,-85.35,66,64,-80.2038879394531
3/30/2016 12:51:00 PM,48.4,53,39,55.3769912719727
9/27/2016 7:51:00 PM,-100.4,66,63,-111.805534362793
1/27/2016 8:51:00 PM,-22.4,37,31,-36.291561126709
8/20/2016 9:51:00 AM,-49.3,83,72,-28.3470249176025
6/7/2016 6:51:00 AM,-78.45,73,64,-64.3576354980469
8/6/2016 4:51:00 PM,146.65,79,72,156.967651367188
2/15/2016 3:51:00 PM,-112.55,26,24,-100.413238525391
6/14/2016 9:51:00 PM,-171.2,71,57,-144.905227661133
4/4/2016 12:20:00 PM,89.05,44,43,85.9502334594727
11/29/2016 3:49:00 PM,0,57,56,0.0835090279579163
11/29/2016 2:39:00 PM,0,57,56,0.0835090279579163
12/24/2016 2:51:00 PM,0,45,43,-0.383041322231293
2/13/2016 5:51:00 PM,-101.3,10,6,-91.8591766357422
5/5/2016 1:31:00 PM,-148.2,56,49,-138.933807373047
8/21/2016 11:51:00 AM,-52.25,84,73,-25.9986934661865
2/19/2016 11:51:00 PM,-95.4,39,35,-107.38939666748
2/21/2016 9:51:00 AM,-97.15,52,43,-98.499641418457
9/3/2016 5:43:00 AM,-106.45,68,64,-105.572463989258
4/24/2016 10:51:00 AM,34.95,58,42,36.944896697998
9/26/2016 1:51:00 AM,-114.15,58,49,-126.242401123047
9/18/2016 11:51:00 PM,-63.9,75,72,-62.5770225524902
2/22/2016 7:51:00 PM,-125.45,44,37,-98.3295669555664
1/17/2016 6:18:00 PM,208.3,30,29,207.679153442383
1/29/2016 7:51:00 AM,197.2,35,30,198.357467651367
8/29/2016 7:51:00 PM,-67.55,81,67,-101.372352600098
10/17/2016 12:51:00 AM,0,63,59,-1.01771426200867
6/3/2016 6:51:00 AM,-55.05,64,61,-85.4569244384766
12/6/2016 12:51:00 PM,62.45,45,39,62.2856674194336
12/24/2016 7:51:00 PM,0,46,42,0.9610236287117
1/8/2016 2:28:00 PM,214.6,43,38,199.411895751953
2/24/2016 11:51:00 PM,-134.45,59,57,-122.510414123535
4/6/2016 7:51:00 PM,-147.15,44,39,-127.785377502441
7/24/2016 7:51:00 PM,-76.4,83,72,-171.939697265625
6/30/2016 10:51:00 PM,-161.15,76,66,-124.321975708008
3/16/2016 1:51:00 AM,73.6,51,47,80.0297622680664
2/29/2016 10:51:00 PM,47.5,48,39,48.7715263366699
10/23/2016 10:13:00 AM,0,55,45,7.27049875259399
7/14/2016 1:51:00 PM,-122.7,87,78,52.2179336547852
4/4/2016 12:51:00 AM,66.9,37,30,32.4494514465332
5/8/2016 8:51:00 AM,-72.2,53,51,-92.1864318847656
1/5/2016 4:51:00 PM,209.75,28,21,199.569747924805
8/2/2016 2:32:00 AM,96.85,71,66,91.4807968139648
5/1/2016 10:51:00 AM,-84.45,47,45,-105.820030212402
4/28/2016 3:51:00 PM,-146.6,55,44,-145.679183959961
3/22/2016 6:51:00 AM,50.1,35,29,41.0750617980957
8/16/2016 10:51:00 AM,-55.65,86,76,25.2181987762451
12/18/2016 2:01:00 AM,0,39,39,0.501826584339142
7/23/2016 9:51:00 PM,-76.2,86,67,-92.8289947509766
2/2/2016 10:51:00 AM,224,46,37,227.058242797852
4/3/2016 9:51:00 AM,60.25,35,27,57.4472160339355
7/11/2016 1:51:00 PM,-149.35,79,66,-123.016654968262
4/8/2016 1:51:00 AM,-86.45,48,43,-87.3824310302734
11/11/2016 9:51:00 AM,0,59,49,-3.20681715011597
7/3/2016 12:51:00 AM,-180.6,69,58,-174.76496887207
2/24/2016 8:49:00 PM,-137,57,56,-136.248809814453
7/8/2016 12:51:00 AM,-152.75,78,73,-107.33211517334
4/23/2016 4:51:00 AM,63.7,62,60,56.9723854064941
2/24/2016 3:09:00 PM,-142.35,46,45,-142.51188659668
2/12/2016 5:51:00 AM,-83.1,16,12,-110.175430297852
9/9/2016 11:51:00 AM,-46.05,90,76,-51.428466796875
5/30/2016 1:38:00 AM,81.5,70,69,74.7200927734375
10/17/2016 5:51:00 AM,0,63,60,-0.152110636234283
11/15/2016 3:51:00 AM,0,52,49,0.348455220460892
6/25/2016 7:51:00 PM,-164.85,72,59,-194.529052734375
4/24/2016 4:51:00 AM,32.1,47,37,6.86977338790894
4/10/2016 1:51:00 AM,-65.8,34,27,-81.2646331787109
12/25/2016 12:51:00 AM,0,41,37,-0.460885345935822
3/19/2016 6:51:00 PM,47.05,45,33,48.2030754089355
3/23/2016 6:51:00 AM,71.05,51,43,-38.6044807434082
5/16/2016 10:51:00 PM,-61.9,61,48,-88.9753036499023
9/9/2016 12:51:00 AM,-50.15,83,74,-76.4822006225586
3/7/2016 2:51:00 AM,42.9,37,33,55.4063720703125
7/30/2016 5:05:00 PM,-77.05,74,73,-79.8224029541016
6/10/2016 5:51:00 AM,-122.4,57,48,-123.947822570801
3/7/2016 4:51:00 PM,76.65,60,47,77.0927124023438
5/6/2016 8:57:00 AM,-134.5,49,47,-127.507354736328
4/11/2016 8:51:00 PM,-138.65,56,50,-111.431167602539
2/10/2016 5:51:00 AM,-87.45,33,31,-98.1766967773438
5/29/2016 5:51:00 PM,72.9,76,68,81.4844970703125
2/5/2016 9:51:00 AM,229.1,31,30,219.592529296875
2/19/2016 1:51:00 AM,-88.4,26,21,-102.903457641602
1/21/2016 7:51:00 AM,206.1,27,23,170.786346435547
10/17/2016 8:51:00 AM,0,67,62,-0.451206296682358
7/9/2016 4:18:00 AM,-72.55,65,63,-69.1038665771484
6/3/2016 8:19:00 AM,-86.75,64,62,-97.2700805664063
8/22/2016 1:51:00 PM,-89.25,77,63,-69.9852676391602
12/19/2016 11:51:00 AM,0,27,21,-1.39143931865692
9/23/2016 12:51:00 PM,-96.7,86,65,-99.2811584472656
9/26/2016 4:51:00 PM,-105.4,67,57,-111.532684326172
3/24/2016 6:51:00 PM,77.2,46,43,78.4275970458984
5/20/2016 1:51:00 PM,74.85,75,56,54.5119209289551
5/5/2016 8:51:00 AM,-122.3,50,46,-139.256271362305
1/31/2016 2:51:00 AM,160.9,37,32,170.601928710938
9/27/2016 2:51:00 AM,-112.9,66,65,-109.697677612305
