DATE,DB,WB,Hour,Minute,Day,Weekend,Utility Subtotal,Scored Labels
3/18/2017 11:00:00 PM,36,33,23,1380,7,1,455.6000061,447.264801025391
12/5/2017 7:00:00 AM,53,49,7,420,3,0,300.1207275,251.502990722656
3/1/2017 8:00:00 PM,67,58,20,1200,4,0,366.3999939,404.352996826172
4/8/2017 3:00:00 PM,55,41,15,900,7,1,300.625,308.040893554688
7/16/2017 12:00:00 PM,84,69,12,720,1,1,809.5501099,804.577880859375
12/2/2017 1:00:00 PM,47,40,13,780,7,1,334.4293213,337.370025634766
11/24/2017 12:00:00 AM,37,31,0,0,6,0,259.8533325,286.375152587891
1/20/2017 11:00:00 PM,41,41,23,1380,6,0,285.7250061,266.717163085938
12/3/2017 10:00:00 PM,45,42,22,1320,1,1,318.4256287,302.936553955078
6/28/2017 5:00:00 AM,62,56,5,300,4,0,405.8999939,419.737609863281
7/3/2017 9:00:00 AM,81,67,9,540,2,0,673.7666626,644.904541015625
6/17/2017 9:00:00 AM,71,67,9,540,7,1,382.2999878,402.333801269531
10/12/2017 8:00:00 AM,57,55,8,480,5,0,398.2999878,403.193695068359
4/16/2017 10:00:00 AM,77,64,10,600,1,1,318.2000122,493.628570556641
1/15/2017 4:00:00 PM,38,32,16,960,1,1,250.875,243.238693237305
9/29/2017 4:00:00 AM,56,50,4,240,6,0,341.8999939,346.442138671875
8/30/2017 11:00:00 AM,73,61,11,660,4,0,650.5999756,644.238586425781
11/19/2017 8:00:00 AM,56,52,8,480,1,1,242.3000031,302.182006835938
11/21/2017 9:00:00 AM,47,41,9,540,3,0,326.7090149,357.590698242188
8/15/2017 7:00:00 AM,69,68,7,420,3,0,648.2000122,633.169189453125
4/4/2017 1:00:00 PM,46,46,13,780,3,0,430.2749939,537.763916015625
8/16/2017 9:00:00 PM,78,67,21,1260,4,0,700.5999756,703.2412109375
6/7/2017 9:00:00 AM,58,53,9,540,4,0,554.5999756,511.945159912109
3/20/2017 11:00:00 PM,45,36,23,1380,2,0,484.0249939,455.771942138672
8/3/2017 8:00:00 PM,78,70,20,1200,5,0,750,721.997436523438
5/28/2017 4:00:00 AM,59,58,4,240,1,1,288.3999939,292.312591552734
6/13/2017 8:00:00 PM,88,73,20,1200,3,0,556,649.186096191406
5/25/2017 8:00:00 PM,57,56,20,1200,5,0,324.2000122,332.373168945313
11/13/2017 12:00:00 AM,43,37,0,0,2,0,309,272.807037353516
5/17/2017 3:00:00 AM,66,56,3,180,4,0,384.1172485,364.042602539063
9/9/2017 10:00:00 PM,59,54,22,1320,7,1,382.1000061,384.846710205078
5/29/2017 7:00:00 PM,57,55,19,1140,2,0,291.7999878,291.404907226563
